INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
473289,11.12,1015.0,92.0,9.87,40.0,10000.0,1.5,
515661,-8.1,1018.0,77.0,-11.05,100.0,10000.0,2.6,
4869696,7.26,1016.0,95.0,6.51,100.0,2816.0,3.1,
4626443,15.77,1014.0,52.0,5.95,75.0,10000.0,12.9,
1783173,19.92,1012.0,96.0,19.26,100.0,10000.0,3.6,1.44
1433657,27.04,1011.0,66.0,20.15,40.0,10000.0,9.8,
2334914,25.17,1023.0,64.0,17.88,75.0,10000.0,3.6,0.8
2172627,15.76,1023.0,83.0,12.88,100.0,4828.0,5.1,
983200,11.05,1026.0,62.0,4.06,0.0,10000.0,0.0,
2212179,17.95,1019.0,80.0,14.45,100.0,10000.0,6.7,
2142471,29.04,1020.0,51.0,17.88,75.0,10000.0,2.6,
5203676,9.68,1002.0,89.0,7.96,100.0,2012.0,5.1,
1543761,7.98,1011.0,89.0,6.28,100.0,1609.0,2.6,0.29
3201114,34.93,1016.0,44.0,20.86,20.0,10000.0,4.6,
2811238,25.12,1016.0,90.0,23.36,40.0,10000.0,0.0,
2982185,33.16,1015.0,44.0,19.27,75.0,10000.0,11.8,
3551973,20.77,1015.0,90.0,19.07,100.0,4828.0,2.6,
4074113,23.56,1011.0,73.0,18.44,75.0,10000.0,2.6,2.22
2381726,25.19,1017.0,61.0,17.14,40.0,10000.0,7.2,
2316980,28.9,1021.0,60.0,20.36,75.0,10000.0,3.1,
2014014,24.31,1015.0,60.0,16.05,75.0,10000.0,3.1,
728894,-4.34,1016.0,87.0,-5.97,100.0,10000.0,3.1,
3594032,39.02,1011.0,17.0,9.54,75.0,10000.0,9.3,
1599992,15.94,1018.0,85.0,13.42,75.0,10000.0,2.1,
3575645,38.47,1011.0,25.0,14.95,40.0,10000.0,1.5,
3493563,30.04,1013.0,37.0,13.77,40.0,10000.0,5.7,
1333795,12.6,1021.0,96.0,11.98,20.0,10000.0,6.7,
1969435,18.69,1017.0,90.0,17.02,75.0,6437.0,4.1,
1309565,12.13,1026.0,89.0,10.37,100.0,10000.0,4.6,0.3
3726202,27.95,1009.0,61.0,19.73,75.0,10000.0,7.7,2.09
337387,-4.79,1028.0,84.0,-6.82,100.0,10000.0,3.1,
3301859,28.61,1013.0,76.0,23.96,75.0,10000.0,5.7,0.9
932044,-4.4,1025.0,71.0,-8.36,100.0,10000.0,2.6,
3716288,22.1,1010.0,88.0,20.02,100.0,10000.0,3.1,
3700701,24.41,1011.0,73.0,19.26,0.0,10000.0,2.1,
4718774,-7.93,1021.0,80.0,-10.46,0.0,10000.0,2.6,
3748893,25.03,1015.0,64.0,17.75,20.0,10000.0,4.1,
2829838,18.33,1008.0,92.0,17.01,100.0,8047.0,6.2,4.6
4304968,37.21,1011.0,15.0,6.27,0.0,10000.0,6.2,
